Serial No,Age,Gender,University,Department,Enrolled Program,T Number,S Number,B Number,Study Year,online Exam,Ofline Number,TSR,TOS,PCC1,DCC1,ACC1,PCC2,DCC2,ACC2,PCC3,DCC3,ACC3,PCC4,DCC4,ACC4,PCC5,DCC5,ACC5,PCC6,DCC6,ACC6,PCC7,DCC7,ACC7,PCC8,DCC8,ACC8,PTEA1,DTEA1,ATEA1,PTEA2,DTEA2,ATEA2,PTEA3,DTEA3,ATEA3,PTEA4,DTEA4,ATEA4,PIS1,DIS1,AIS1,PIS2,DIS2,AIS2,PIS3,DIS3,AIS3,PIS4,DIS4,AIS4,PIS5,DIS5,AIS5,PIS6,DIS6,AIS6,PARA1,DARA1,AARA1,PARA2,DARA2,AARA2,PARA3,DARA3,AARA3,CGPA
191,22,2,HSTU,Sociology,1,5,110,5,"3,2",1,4,4,3,1,1,2,1,1,1,4,3,5,4,4,5,5,5,5,5,5,5,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,5,5,5,4,2,5,1,1,1,1,1,2,1,1,3,1,2,3,5,3,5,5,4,5,3,4,3,2,1,3,3.37
192,24,1,HSTU,Sociology,1,6,102,5,"3,2",1,4,3,2,3,1,2,3,2,1,4,3,3,3,3,3,3,2,3,4,3,3,2,1,2,1,1,1,1,3,2,4,3,3,1,1,1,5,3,5,2,3,2,3,3,3,1,1,2,3,2,3,3,2,1,2,1,2,3,1,4,1,1,2,1,1,2,3
193,25,1,HSTU,Sociology,1,6,102,5,"3,2",1,4,4,4,3,1,2,2,1,2,3,2,3,2,1,1,2,1,2,3,2,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,4,3,4,3,2,3,3,1,2,4,2,4,4,1,4,5,1,5,3,1,3,4,1,4,5,1,5,3.1
194,23,2,HSTU,Sociology,1,5,104,5,"3,2",1,4,3,4,2,1,2,1,1,1,4,4,4,3,3,3,4,2,4,5,4,5,1,1,1,2,1,3,2,1,3,2,2,2,1,1,1,4,3,4,3,2,4,4,3,4,2,1,5,2,1,2,4,4,5,2,1,3,5,4,5,4,2,5,3,3,3,3.05
195,23,2,HSTU,Sociology,1,5,104,5,"3,2",1,4,4,5,3,1,4,2,1,4,4,4,4,3,2,3,4,4,4,5,5,5,1,1,1,2,1,3,3,1,4,4,4,4,2,1,2,4,3,5,4,4,5,4,3,4,4,3,5,2,1,2,4,3,4,4,3,5,4,4,5,5,3,5,3,3,3,3.6
196,23,2,HSTU,Sociology,1,5,110,5,"3,2",1,4,4,4,5,2,5,4,1,3,4,2,3,5,4,5,3,2,2,5,5,5,1,1,1,4,4,4,4,2,4,5,5,5,5,3,4,55,5,5,5,5,5,4,3,4,5,4,5,4,3,4,4,3,4,4,3,4,5,4,5,5,3,5,5,4,5,3.48
197,23,2,HSTU,Sociology,1,5,110,5,"3,2",1,4,5,5,4,3,4,3,2,4,4,3,4,4,4,4,3,2,4,5,5,5,3,2,3,3,3,3,3,2,3,5,5,5,4,3,4,5,5,5,5,4,5,4,3,4,5,3,5,4,3,4,5,3,5,5,5,5,5,4,5,4,3,4,5,4,5,3.23
198,22,2,HSTU,Sociology,1,5,110,5,"3,2",1,4,4,3,3,2,3,4,3,5,3,2,4,4,3,5,5,2,4,4,3,5,2,3,4,4,3,5,5,2,4,4,3,5,4,3,2,3,2,4,4,2,3,3,2,5,4,3,4,5,2,4,4,3,5,4,2,5,5,3,4,5,3,5,5,3,4,3
199,22,2,HSTU,Sociology,1,6,102,5,"3,2",1,4,4,3,3,2,4,2,3,3,4,5,4,4,4,4,4,2,4,4,4,4,2,2,3,3,3,4,2,2,3,3,2,4,2,2,2,3,3,4,3,2,4,3,3,3,3,2,4,3,2,3,3,3,3,3,3,4,4,3,4,4,2,4,2,2,4,3.48
200,23,2,HSTU,Sociology,1,6,102,5,"3,2",1,4,4,4,2,2,4,2,3,4,3,2,4,4,4,4,4,3,3,3,3,3,1,1,2,1,1,3,1,1,2,3,2,4,1,1,1,2,2,3,2,2,4,2,1,3,2,1,3,2,1,2,2,2,3,2,3,3,3,3,3,2,1,3,2,1,4,3.31
201,25,1,HSTU,Sociology,1,5,102,5,"3,2",1,4,5,3,3,2,4,2,1,4,5,3,5,5,3,5,4,5,4,3,4,5,3,1,4,2,1,4,2,1,4,4,3,5,3,1,4,5,4,5,5,4,5,3,1,4,4,3,5,2,3,5,4,1,5,5,4,5,3,2,4,5,5,5,4,5,5,3.1
202,24,1,HSTU,Sociology,1,7,103,5,"3,2",1,4,5,5,3,1,4,2,2,2,4,4,4,1,1,1,4,4,4,4,4,4,1,1,1,4,4,4,3,3,3,4,4,4,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,4,3,4,4,4,4,5,5,5,5,3,5,5,4,5,5,3,5,3.03
203,23,2,HSTU,Sociology,1,6,102,6,"3,2",1,4,4,3,1,1,1,1,1,1,4,2,4,3,3,3,4,4,4,3,3,3,2,2,3,1,1,2,1,1,2,3,2,3,1,1,1,1,1,1,1,2,3,1,1,1,2,1,3,3,2,4,2,1,3,1,1,1,2,3,4,2,1,4,1,2,3,3.3
204,23,1,HSTU,Sociology,1,5,102,6,"3,2",1,4,5,4,3,5,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,1,4,1,1,1,4,4,4,3,3,3,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,4,3,5,3.18
205,24,1,HSTU,Sociology,1,6,102,6,"3,2",1,4,4,4,4,1,4,1,1,3,4,1,4,3,1,4,3,1,3,5,1,4,2,1,3,5,1,5,3,1,4,5,1,3,4,1,2,5,5,5,4,3,4,4,2,4,4,2,5,3,1,3,5,2,4,4,2,3,5,2,3,4,1,2,5,1,4,2.94
206,23,2,HSTU,Sociology,1,6,102,5,"3,2",1,4,4,4,2,3,4,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,1,2,3,2,3,3,2,3,3,3,3,3,1,1,1,3,3,3,2,2,3,2,1,3,2,1,4,2,1,2,3,2,3,2,3,3,3,3,3,2,2,4,3,3,4,3.16
207,23,2,HSTU,Sociology,1,5,106,5,"3,2",1,4,4,3,1,1,2,1,1,1,4,3,5,2,2,2,5,5,5,5,5,5,1,1,2,1,1,3,1,1,1,4,3,5,1,1,1,5,5,5,4,2,5,3,2,5,3,2,5,2,2,5,1,1,4,1,1,5,4,3,5,5,5,5,1,1,5,3.39
208,21,2,HSTU,Sociology,1,6,106,6,"3,2",1,4,5,4,1,1,2,1,1,3,5,5,5,2,1,3,2,1,4,5,5,5,1,1,3,3,1,3,5,3,5,3,4,5,1,1,3,5,5,5,5,4,5,5,3,5,5,5,5,3,1,3,3,1,4,5,4,5,4,3,5,3,1,4,5,1,5,3.5
209,22,1,HSTU,Sociology,1,5,102,6,"3,2",1,4,4,3,2,2,5,2,3,3,2,3,4,2,2,2,1,1,1,1,2,1,1,2,2,1,2,4,1,1,3,1,1,1,1,1,1,3,3,3,1,1,1,1,2,2,1,1,3,1,2,3,1,1,1,1,2,2,2,1,3,2,3,4,1,2,1,3.23
210,23,2,HSTU,Sociology,1,6,110,6,"3,2",1,4,4,4,3,2,4,3,1,4,4,1,4,2,1,3,3,2,3,4,4,5,3,3,4,4,3,5,3,2,4,4,4,4,3,2,3,3,3,5,3,3,4,3,1,3,4,3,5,2,1,2,2,1,3,2,1,4,3,2,5,3,1,5,3,2,5,3.35
211,23,2,HSTU,Sociology,1,6,110,5,"3,2",1,4,3,4,3,2,4,3,1,4,4,3,5,4,1,4,5,4,4,5,3,5,1,1,3,2,1,2,2,1,3,3,1,4,3,1,3,4,2,4,4,2,4,3,1,3,3,1,3,2,1,3,2,1,2,2,1,3,4,2,4,4,1,4,1,1,2,3.3
212,23,2,HSTU,Sociology,1,6,110,6,"3,2",1,4,4,4,3,2,4,2,1,4,4,3,5,5,3,4,5,4,5,5,4,5,2,1,3,2,1,3,3,2,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,4,3,2,4,4,2,5,3,2,4,3,2,5,3,2,5,3,2,5,3.22
213,23,1,HSTU,Sociology,1,6,121,5,"3,2",1,4,4,4,3,2,5,2,3,5,2,3,4,2,3,5,2,3,5,2,2,5,2,2,5,2,2,5,3,2,5,3,2,5,3,2,5,3,2,5,3,3,5,3,3,5,3,3,5,3,3,5,2,3,5,2,3,5,2,3,4,3,2,4,4,5,3,3.1
214,22,2,HSTU,Sociology,1,6,103,6,"3,2",1,4,4,4,4,3,4,1,1,2,2,4,4,4,4,4,4,3,3,3,2,4,2,1,1,1,1,1,1,1,1,3,2,2,2,1,2,3,1,3,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,3,2,3,3,1,3,3,3,2,3.44
215,22,2,HSTU,Sociology,1,6,103,6,"3,2",1,4,4,2,3,2,4,2,2,2,4,3,5,4,3,4,5,4,3,4,4,4,2,1,2,1,1,3,1,1,1,3,3,4,2,1,2,2,1,3,3,2,4,2,1,3,2,1,4,3,1,4,3,2,5,3,2,5,4,3,4,2,1,4,2,1,5,3.51
216,23,1,HSTU,Sociology,1,6,103,6,"3,2",1,4,4,3,4,1,1,2,2,3,5,3,1,4,3,3,4,2,1,4,4,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,3,3,2,3,2,1,3,2,1,2,1,1,1,3,1,3,1,1,1,2,1,3,1,1,1,3,2,4,3.36
217,24,1,HSTU,ME,1,4,51,4,"3,1",1,3,4,4,3,1,2,2,1,2,1,1,1,3,1,2,5,5,5,4,3,4,1,1,1,2,1,1,3,3,3,4,3,4,2,1,3,5,5,5,5,5,5,4,2,4,5,5,5,5,4,5,4,4,4,4,4,4,4,3,4,4,2,4,5,1,5,2.75
218,24,1,HSTU,ME,1,5,51,5,"3,1",1,3,2,2,4,2,3,1,1,1,3,2,2,2,2,2,4,3,4,4,2,2,2,1,3,2,2,2,3,1,2,2,2,2,1,1,1,3,1,2,2,1,1,2,2,2,2,3,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,2,3.1
219,21,1,HSTU,ME,1,7,51,5,"3,1",1,3,3,4,5,2,3,5,3,3,5,2,3,4,2,3,5,5,5,5,3,5,4,3,4,5,4,5,5,1,3,4,1,4,5,1,3,4,1,3,3,2,3,5,3,5,5,2,5,5,2,4,2,2,2,1,1,1,4,2,4,3,1,3,4,1,4,3
220,21,1,HSTU,ME,1,7,51,5,"3,1",1,3,3,2,4,3,4,2,2,3,4,3,4,3,3,3,3,4,4,3,3,4,1,1,1,2,2,2,2,2,2,3,3,3,2,2,2,3,3,3,3,2,4,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,3,2,4,2,2,2,2,2,2,2.8
221,23,1,HSTU,ME,1,7,51,5,"3,1",1,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,1,1,1,1,1,1,2,5,2,3,3,3,3,3,3,2,2,2,3,3,4,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3.38
222,23,1,HSTU,ME,1,7,57,5,"3,1",1,3,3,3,2,1,1,1,1,1,3,2,3,3,2,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,3.39
223,23,1,HSTU,ME,1,7,51,5,"3,1",1,3,3,2,2,1,3,3,2,3,3,1,3,2,1,2,3,2,2,3,2,3,2,1,3,3,2,3,2,2,2,2,1,1,1,1,2,3,1,2,3,1,2,3,2,3,1,1,3,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,3.2
224,22,1,HSTU,ME,1,7,51,5,"3,1",1,3,3,3,1,2,1,1,2,1,3,4,3,1,3,1,2,4,3,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,3,3,3,2,2,2,1,1,2,2,3,3,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,3.2
225,22,1,HSTU,ME,1,5,51,5,"3,1",1,3,4,4,5,3,4,5,4,4,4,4,5,4,4,5,5,5,3,4,3,4,2,1,1,2,1,1,3,2,3,4,3,4,4,2,4,5,3,5,3,2,3,3,2,4,5,2,5,4,3,4,4,2,4,5,4,5,4,2,3,1,1,2,1,1,1,3.2
226,23,1,HSTU,ME,1,5,51,5,"3,1",1,3,3,3,3,3,3,1,4,1,3,3,3,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,2,2,3,3,3,1,1,1,3,4,4,3,3,3,3,3,3,4,3,4,2,3,2,1,1,1,2,3,2,2,3,2,1,1,1,2,2,3,3.36
227,23,1,HSTU,ME,1,5,51,5,"3,1",1,3,3,4,5,3,4,5,3,4,4,3,4,5,5,5,5,5,3,3,3,3,2,1,2,3,1,2,3,1,3,3,1,2,4,2,4,4,1,3,4,2,3,5,1,4,5,4,3,3,1,3,4,1,4,4,1,3,5,2,4,4,1,2,3,1,3,3.25
228,23,1,HSTU,ME,1,7,51,5,"3,1",1,3,3,2,5,2,3,4,2,2,5,3,5,4,3,3,5,2,5,5,2,3,4,3,5,5,3,4,4,2,3,4,3,2,2,1,1,3,2,3,4,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,1,1,1,3.23
229,23,1,HSTU,ME,1,7,54,4,"3,1",1,3,4,1,3,1,4,4,5,2,3,1,3,1,2,1,1,3,1,3,1,3,1,1,1,3,2,4,1,1,1,3,2,2,1,1,1,2,2,1,4,2,3,3,1,2,1,1,1,2,1,2,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,3.32
230,22,1,HSTU,ME,1,7,51,5,"3,1",1,3,4,4,2,1,3,1,1,2,3,4,3,2,3,4,3,4,2,2,2,3,1,1,2,2,1,2,1,1,2,4,3,2,2,2,3,2,3,2,3,2,2,1,1,2,1,2,3,1,1,1,3,4,2,3,3,1,2,3,2,2,2,2,1,1,1,3.1
231,22,2,HSTU,ME,1,7,54,5,"3,1",1,3,3,2,2,1,3,1,1,3,2,3,4,2,3,3,5,3,4,3,3,4,1,1,2,3,1,4,3,1,3,2,1,3,1,1,3,1,1,4,1,2,3,1,3,2,1,1,3,1,2,2,3,5,4,1,4,3,2,1,3,1,1,1,1,1,1,3.2
232,23,1,HSTU,Management,1,6,70,5,"3,2",1,5,4,4,4,3,3,2,1,2,3,2,2,2,3,2,3,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.36
233,23,1,HSTU,Agriculture,1,89,410,5,"3,2",1,4,2,3,3,2,3,2,1,2,2,1,2,1,1,1,3,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,3.41
234,24,1,HSTU,Accounting,1,4,70,5,"3,2",1,4,4,3,4,2,4,4,3,2,3,4,2,4,3,3,5,2,3,2,2,2,1,1,1,1,1,1,3,2,3,4,3,4,4,4,4,5,4,5,4,3,4,3,2,3,4,3,3,2,2,2,4,3,4,3,2,3,4,3,4,3,4,3,4,2,3,3
235,24,1,HSTU,Fisheries,1,3,120,5,"3,2",1,4,4,4,4,3,5,4,4,4,3,4,5,4,3,4,2,1,2,4,2,4,4,2,3,5,3,3,3,3,3,3,2,2,2,2,3,3,2,3,4,3,4,3,2,2,3,2,3,2,1,1,1,2,2,2,1,1,4,3,3,4,2,3,3,1,2,3.11
236,23,1,HSTU,Food process,1,19,62,6,"3,2",1,5,4,5,4,3,2,3,4,2,2,2,2,2,3,3,4,4,5,5,4,2,5,4,2,5,4,5,2,5,4,4,3,5,4,4,4,4,4,5,4,4,5,2,2,2,2,5,2,2,5,2,2,5,4,2,5,4,4,4,3,4,2,2,4,2,2,3.2
237,23,1,HSTU,Accounting,1,4,72,6,"3,2",1,4,4,5,4,4,3,2,2,3,5,4,5,3,3,3,5,5,4,4,4,4,3,2,2,4,4,4,3,3,2,4,4,4,4,4,3,5,5,5,5,4,5,5,5,5,4,4,4,5,4,5,4,4,4,5,4,5,5,5,5,4,4,4,3,3,3,3.34
238,23,2,HSTU,Accounting,1,4,78,6,"3,2",1,4,5,2,4,2,13,4,2,2,3,1,3,3,1,3,4,1,4,4,1,4,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,3.13
239,22,2,HSTU,Accounting,1,5,78,6,"3,2",1,4,4,3,4,2,3,4,2,2,5,1,3,4,1,4,4,1,4,4,3,4,1,1,1,1,1,1,3,1,3,4,1,3,3,1,4,4,1,4,4,1,4,4,3,4,3,1,3,3,1,4,2,1,2,4,3,4,3,1,3,3,1,3,4,2,4,3.58
240,24,1,HSTU,Accounting,1,5,70,5,"3,2",1,4,3,1,4,3,3,2,3,2,2,2,3,3,2,3,3,1,2,3,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.26
241,25,1,HSTU,Accounting,1,5,70,5,"3,2",1,4,3,1,4,2,3,1,3,2,2,2,3,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
242,23,1,HSTU,Accounting,1,9,74,5,"3,2",1,4,4,4,4,4,1,3,5,3,1,4,2,5,3,4,2,2,5,3,1,5,3,2,3,3,1,2,3,2,3,4,4,4,1,2,3,1,5,3,5,5,5,1,1,1,3,3,3,1,1,1,2,2,2,1,1,1,5,5,5,4,4,4,5,5,5,3.41
243,22,2,HSTU,Accounting,1,6,70,5,"3,2",1,5,4,4,4,3,3,3,3,2,4,4,3,5,5,4,3,2,3,3,3,3,2,2,1,2,2,2,3,3,2,2,2,2,2,1,1,2,2,2,3,3,2,3,3,3,3,3,3,2,2,2,2,1,2,2,1,2,3,3,3,2,2,2,2,1,1,3
244,25,1,HSTU,Accounting,1,5,73,18,"3,2",1,4,4,4,3,1,2,4,3,1,5,3,5,5,4,2,4,2,3,3,2,3,2,4,4,2,2,2,2,2,2,3,2,2,2,2,4,4,4,4,4,4,2,4,4,4,3,2,2,2,3,2,3,1,2,2,1,2,3,2,3,2,2,3,3,1,2,3.01
245,21,1,HSTU,Sociology,1,6,115,6,"3,2",1,4,2,1,3,1,4,2,1,3,2,1,2,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.01
246,24,1,HSTU,Sociology,1,5,110,6,"3,2",1,4,4,4,3,2,2,4,1,2,3,1,3,4,3,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,4,2,2,1,2,4,3,4,3,1,2,3,2,4,1,1,2,2,1,3,3,1,4,1,1,1,4,3,4,3,4,4,5,5,5,3.15
247,23,1,HSTU,Sociology,1,5,105,5,"3,2",1,3,4,4,4,3,5,3,3,4,5,4,5,4,4,5,4,4,4,4,4,5,3,3,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,4,4,5,4,2,3,3,3,5,4,2,4,5,5,5,4,4,4,4,4,4,4,4,5,3,4,5,3.47
248,23,1,HSTU,Sociology,1,5,105,5,"3,2",1,4,4,4,4,3,5,3,3,4,5,5,5,4,5,5,5,4,5,2,1,2,3,1,3,4,1,3,2,2,2,3,3,4,2,1,3,5,3,5,4,3,5,5,5,5,5,4,5,4,3,5,4,3,4,3,2,4,4,3,4,4,3,5,4,5,5,3.25
249,23,1,HSTU,Sociology,1,6,102,5,"3,2",1,4,4,3,3,1,4,2,1,3,5,3,5,4,2,5,3,2,4,3,1,5,2,1,4,2,2,5,2,1,4,3,1,5,2,2,4,3,1,4,3,2,4,4,3,5,3,1,4,3,1,4,3,2,5,5,5,5,4,3,5,5,5,5,5,3,5,3
250,25,1,HSTU,Sociology,1,5,116,6,"3,2",1,4,3,1,2,1,2,2,1,1,2,1,2,3,1,3,4,5,4,3,3,3,1,2,1,2,2,1,1,1,1,3,2,1,3,1,1,4,3,4,3,1,2,2,1,2,1,5,1,2,1,3,3,1,3,3,2,3,4,4,4,3,2,3,3,2,3,3.38
251,22,2,HSTU,Sociology,1,6,110,6,"3,2",1,4,5,4,5,2,3,4,2,3,5,3,5,4,2,3,5,2,2,4,3,4,2,1,1,2,2,2,5,3,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,3,3,3,5,4,5,5,3,4,3.45
252,23,2,HSTU,Sociology,1,6,110,6,"3,2",1,4,4,4,4,2,3,3,2,2,4,2,3,2,1,2,3,2,3,3,2,1,2,1,2,2,1,2,2,3,2,2,1,2,2,1,3,1,3,2,3,3,2,2,2,3,4,2,3,2,1,3,1,2,1,3,2,3,3,2,1,2,2,1,4,3,2,3.55
253,23,1,HSTU,Sociology,1,5,110,6,"3,2",2,3,4,4,3,2,3,2,2,2,3,2,3,3,2,3,3,2,3,3,2,3,3,2,4,3,2,3,3,2,3,3,2,3,1,1,1,1,1,1,3,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,2,3,3,2,3,3,1,4,3.05
254,23,2,HSTU,Sociology,1,6,113,6,"3,2",1,4,4,4,3,2,3,2,1,2,4,4,4,3,3,3,4,3,3,4,3,3,2,1,1,3,2,2,3,2,2,3,3,3,3,3,3,4,3,4,3,2,3,3,2,3,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3.28
255,23,2,HSTU,Sociology,1,6,106,6,"3,2",2,4,4,3,2,1,2,1,1,1,4,2,4,2,1,3,1,1,2,3,2,4,1,1,1,1,1,1,1,1,2,3,2,4,2,1,2,4,2,5,3,1,4,2,1,2,3,1,4,1,1,1,1,1,3,1,1,2,2,1,4,3,1,5,2,1,4,3.53
256,23,1,HSTU,Sociology,1,6,102,6,"3,2",1,4,4,3,1,1,2,1,1,1,4,4,4,3,3,3,4,3,4,3,3,3,1,1,2,3,3,4,3,2,3,4,4,4,3,2,3,4,3,4,4,4,5,4,4,5,3,3,4,3,3,4,4,4,4,4,4,4,4,3,4,3,3,4,3,2,3,3.3
257,23,2,HSTU,Sociology,1,6,100,6,"3,2",1,4,4,2,3,2,3,2,4,1,3,2,3,2,3,3,4,5,4,5,5,5,1,1,1,2,3,2,4,4,4,4,3,5,3,1,2,4,1,3,3,2,2,1,1,1,3,2,4,1,1,1,1,1,1,1,1,1,3,2,4,3,3,3,3,2,3,3.1
258,21,1,HSTU,ME,1,6,50,5,"3,1",1,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,4,55,5,5,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,1,1,2.64
259,25,1,BRUR,Economics,2,8,64,5,"5,2",2,7,1,1,5,5,5,3,2,4,4,2,3,3,2,3,4,3,4,4,3,5,4,3,4,4,3,4,3,2,3,2,1,2,4,2,4,3,2,3,4,3,4,3,2,3,4,3,4,4,3,3,3,2,3,4,4,4,4,3,4,3,3,3,2,3,2,3.31
260,24,1,BRUR,Economics,2,8,64,5,5.2,2,7,1,1,5,2,5,4,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3.23
261,23,1,BRUR,Sociology,1,10,69,4,"3,2",1,4,2,2,3,1,5,3,1,5,5,1,5,5,1,5,4,1,5,5,1,5,2,1,5,3,1,5,3,1,5,4,1,5,5,1,5,5,1,5,4,1,5,4,1,5,5,1,5,3,1,5,3,1,5,4,1,5,4,1,5,4,2,5,5,1,5,3.47
262,22,2,BRUR,Sociology,1,10,69,4,"3,2",1,4,2,2,3,1,4,3,1,5,5,1,5,4,1,5,4,1,4,5,4,5,2,1,5,3,2,5,3,1,5,5,1,5,5,1,5,5,3,4,4,1,3,4,1,3,4,1,3,3,2,4,3,1,5,4,1,5,4,2,5,5,2,3,5,1,5,3.33
263,22,2,BRUR,Sociology,1,10,69,4,"3,2",1,4,2,2,4,2,5,3,1,5,4,2,4,4,1,4,5,1,2,4,1,4,3,1,5,3,1,5,4,2,5,4,2,4,3,1,2,4,2,3,4,3,4,3,1,2,4,3,4,3,1,2,3,1,3,4,3,4,3,2,4,4,2,4,4,2,3,3.45
264,22,2,BRUR,Sociology,1,10,69,4,"3,2",1,4,2,2,4,1,5,2,1,4,4,1,4,4,1,4,3,1,3,4,1,4,3,1,5,3,1,5,3,1,5,3,1,3,3,1,4,5,1,5,4,1,5,4,1,5,4,1,4,3,1,3,4,1,5,5,1,5,4,1,5,3,1,4,3,1,4,3.27
265,22,2,BRUR,Sociology,1,10,69,4,"3,2",1,4,1,2,5,1,4,4,1,3,3,1,4,4,1,5,5,1,5,5,1,5,4,1,4,5,1,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,4,3,5,4,2,5,4,1,4,4,1,5,4,4,5,4,1,4,5,4,5,5,2,5,3.2
266,22,2,BRUR,Socology,1,10,69,4,"3,2",1,4,2,3,5,2,4,4,2,4,5,3,4,5,2,5,5,2,5,4,2,4,3,1,4,5,2,5,5,3,5,4,3,4,4,2,4,4,3,5,4,4,4,4,2,4,4,3,4,3,2,3,3,2,3,3,2,3,4,3,4,4,3,4,3,1,4,3. 55
267,22,2,BRUR,Sociology,1,10,69,4,"3,2",1,4,2,3,5,2,4,4,2,4,4,1,4,5,2,5,5,3,5,4,2,4,3,1,4,5,2,5,5,3,5,4,3,4,4,2,4,4,3,5,4,4,4,4,2,4,4,3,4,4,2,4,3,2,3,3,2,3,4,2,4,4,3,4,3,2,4,3.64
268,23,2,BRUR,Sociology,1,10,69,4,"3,2",1,4,1,3,5,3,4,4,2,3,5,2,4,4,2,3,5,2,4,5,2,4,5,2,4,5,2,4,5,4,5,5,3,4,4,2,3,5,2,4,5,2,4,4,2,3,5,3,4,4,2,4,4,2,3,4,2,3,5,3,4,5,3,4,5,2,4,3.25
269,23,1,BRUR,Sociology,1,10,69,4,"3,2",1,4,1,3,5,4,4,4,3,4,4,3,4,5,4,4,5,3,4,5,3,5,4,5,4,4,5,4,4,4,4,5,5,5,4,4,4,5,3,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.27
270,23,2,BRUR,Sociology,1,10,69,4,"3,2",1,4,2,1,5,1,3,4,2,5,5,3,5,5,5,5,5,3,2,5,2,5,4,3,5,3,2,5,4,5,3,4,1,4,1,1,1,4,2,4,5,5,5,3,1,2,4,1,1,1,1,1,5,5,5,1,2,2,5,5,5,3,3,3,3,1,2,3.58
271,22,2,BRUR,Sociology,1,10,69,4,3.2,1,4,1,1,5,1,4,4,2,4,4,1,3,4,2,4,4,2,5,5,4,5,3,3,4,4,4,4,4,2,4,4,3,4,5,3,4,5,5,5,4,4,5,4,4,3,5,3,5,4,3,4,5,3,4,4,5,3,3,4,5,3,3,2,5,3,1,3.22
